ID,"First Name","Last Name","Book Name",URL,Publisher,Translator,"Additional Info","Publication Month","Age Recommendation",Description,Season,"Date Added"
1;Anne;Manner;Asfalttiviidakko;https://www.kirjavinkit.fi/arvostelut/asfalttiviidakko/;Lector;;Dekkari.;tammikuu;;"Incelien kanssa tekemisissä oleva toimittaja joutuu oudon saalistajan kynsiin ja joutuu käyttämään kaikki taitonsa selvitäkseen hengissä.";k2025;12.11.2024
2;Jane;Austen;"Ylpeys ja ennakkoluulo";https://www.kirjavinkit.fi/arvostelut/ylpeys-ja-ennakkoluulo/;WSOY;"Sirkka-Liisa Norko-Turja";"Maailmankirjallisuuden klassikot -sarja.";maaliskuu;;"Rakastettu klassikkoteos Elizabeth Bennettin ja herra Darcyn kohtaamisesta. Huomaa, että tämä ei ole Kersti Juvan uusi suomennos, vaan uusi painos vanhasta suomennoksesta vuodelta 1947.";k2025;28.10.2024
3;Aki;Salmela;"~ (Tilde)";;Poesia;;Runot.;huhtikuu;;"Melankolinen merkkiteos pohtii kielen mahdollisuuksia maailmassa aforistisen kuulauden ja fragmentille ominaisen kytkeytymisen muodoissa.";k2025;14.11.2024
4;Arttu;"Tuominen, Tapani Bagge, Markku Ropponen et al.";"20 yötöntä yötä : Huippudekkaristien jännitystarinoita";;Tammi;;"Dekkari. Novellit.";kesäkuu;;"20 kesäistä rikosnovellia Suomen parhailta dekkaristeilta.";k2025;25.10.2024
5;Lone;Theils;"87 sekuntia";;"Saga Egmont";"Sirpa Alkunen";Dekkari.;helmikuu;;"Kööpenhaminan kanaaleilla vaanii kuolema. Rikostutkija Georg Guldman etsii pirullista murhaajaa.";k2025;28.11.2024
6;William;March;"99 faabelia";;Oppian;"Tuomas Kilpi";Lyhytproosa.;toukokuu;;"Lyhyet aikuisille suunnatut tarinat yhdistävät kafkamaisia piirteitä Aisopoksen perinteeseen.";k2025;25.10.2024
7;Tuija;Takala;"Aamusta yöhön";;Avain;;Selkokirja.;helmikuu;;"Kertomuksia kerrostalon asukkaista ja heidän iloistaan ja suruistaan.";k2025;31.10.2024
8;Hugo;Pratt;"Aavikon skorpionit 1";;Jalava;"Heikki Kaukoranta";Sarjakuva.;huhtikuu;;"Viiden albumin sarja kuvaa toisen maailmansodan aavikkotaistelujen mielettömyyttä rivisotilaan näkökulmasta. ";k2025;7.11.2024
9;Jantso;Jokelin;Aikavuoret;;Teos;;Esseet.;helmikuu;;"Matkaesseitä Sveitsin kulttuurihistoriaan.";k2025;26.10.2024
10;Samae;Koskinen;"Aina on itketty";;Tammi;;;helmikuu;;"Koskettava esikoisteos aikuiseksi kasvamisesta ja itsensä hyväksymisestä – siitä, antaako pettymysten ja epätoivon määritellä elämänsä tahdin.";k2025;25.10.2024
